Log,LoggingLevel,Method
invalid snapshot <*>,warn,<org.apache.zookeeper.server.persistence.FileSnap: java.util.List findNValidSnapshots(int)>
login must be done first,<init>,<org.apache.zookeeper.Login: void reLogin()>
Initiating logout for <*>,info,<org.apache.zookeeper.Login: void reLogin()>
Initiating re-login for <*>,info,<org.apache.zookeeper.Login: void reLogin()>
ZK server died. Requsting stop on JVM,info,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl$2: void run()>
error during server lifecycle,error,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl$2: void run()>
trying to do i/o on a null socket for session: x<*>,warn,<org.apache.zookeeper.server.NIOServerCnxn: void doIO(java.nio.channels.SelectionKey)>
CancelledKeyException causing close of session: x<*>,warn,<org.apache.zookeeper.server.NIOServerCnxn: void doIO(java.nio.channels.SelectionKey)>
CancelledKeyException stack trace,debug,<org.apache.zookeeper.server.NIOServerCnxn: void doIO(java.nio.channels.SelectionKey)>
Unexpected exception,warn,<org.apache.zookeeper.server.NIOServerCnxn: void doIO(java.nio.channels.SelectionKey)>
Closing session x<*>,warn,<org.apache.zookeeper.server.NIOServerCnxn: void doIO(java.nio.channels.SelectionKey)>
Close of session x<*>,warn,<org.apache.zookeeper.server.NIOServerCnxn: void doIO(java.nio.channels.SelectionKey)>
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void kill(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void kill(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void kill(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void kill(java.lang.String,int)>"
"Could not find a \', <*>, \' entry in this configuration: Server cannot start., ",error,<org.apache.zookeeper.server.auth.SaslServerCallbackHandler: void <init>(javax.security.auth.login.Configuration)>
multiAddress.reachabilityCheckEnabled set to <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setMultiAddressReachabilityCheckEnabled(boolean)>
Upgrading session x<*>,info,<org.apache.zookeeper.server.quorum.QuorumZooKeeperServer: void upgrade(long)>
Unable to delete tmp file <*>,warn,<org.apache.zookeeper.common.AtomicFileOutputStream: void close()>
Skipping SASL authentication as <*>=<*>,info,"<org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner: void authenticate(java.net.Socket,java.lang.String)>"
Unknown status:<*>!,warn,"<org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner: void authenticate(java.net.Socket,java.lang.String)>"
SaslClient dispose() failed,error,"<org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner: void authenticate(java.net.Socket,java.lang.String)>"
SaslClient dispose() failed,error,"<org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner: void authenticate(java.net.Socket,java.lang.String)>"
Running ZK Server in single Quorum MODE,info,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void start(long)>
Running ZK Server in single STANDALONE MODE,info,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void start(long)>
"Startup timed out, trying to close",info,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl: void start(long)>
configure <*> secure: <*> on addr <*>,info,"<org.apache.zookeeper.server.NettyServerCnxnFactory: void configure(java.net.InetSocketAddress,int,int,boolean)>"
"errorMessage,  But zookeeper.sasl.serverconfig was set., ",error,<org.apache.zookeeper.server.ServerCnxnFactory: void configureSaslLogin()>
,setLoginUser,<org.apache.zookeeper.server.ServerCnxnFactory: void configureSaslLogin()>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void unregisterJMX()>
Ignoring link-local InetAddress <*>,debug,<org.apache.zookeeper.common.NettyUtils: int getClientReachableLocalInetAddressCount()>
Ignoring multicast InetAddress <*>,debug,<org.apache.zookeeper.common.NettyUtils: int getClientReachableLocalInetAddressCount()>
Ignoring loopback InetAddress <*>,debug,<org.apache.zookeeper.common.NettyUtils: int getClientReachableLocalInetAddressCount()>
Detected <*> local network addresses: <*>,debug,<org.apache.zookeeper.common.NettyUtils: int getClientReachableLocalInetAddressCount()>
"Failed to list all network interfaces, assuming ",warn,<org.apache.zookeeper.common.NettyUtils: int getClientReachableLocalInetAddressCount()>
Halt called: Trying to close listeners,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void halt()>
Closing listener: <*>,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void halt()>
Exception when shutting down listener: ,warn,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void halt()>
Update <*> to <*>,info,<org.apache.zookeeper.server.ZooKeeperServer: void setCloseSessionTxnEnabled(boolean)>
Failed to insert the new request path stats for <*>,error,<org.apache.zookeeper.server.util.RequestPathMetricsCollector$PathStatsQueue: void lambda$start$4()>
Failed to insert the new request path stats for <*> with exception <*>,error,<org.apache.zookeeper.server.util.RequestPathMetricsCollector$PathStatsQueue: void lambda$start$4()>
Thread <*> died,error,"<org.apache.zookeeper.server.NIOServerCnxnFactory: void lambda$static$0(java.lang.Thread,java.lang.Throwable)>"
TCP NoDelay set to: <*>,info,<org.apache.zookeeper.server.quorum.Leader: void <clinit>()>
<*> = <*>ms,info,<org.apache.zookeeper.server.quorum.Leader: void <clinit>()>
<*> will use GSSAPI as SASL mechanism.,info,<org.apache.zookeeper.util.SecurityUtils$1: javax.security.sasl.SaslClient run()>
creating sasl client: <*>=<*>;service=<*>;serviceHostname=<*>,debug,<org.apache.zookeeper.util.SecurityUtils$1: javax.security.sasl.SaslClient run()>
TGT refresh thread started.,info,<org.apache.zookeeper.Login$1: void run()>
No TGT found: will try again at <*>,warn,<org.apache.zookeeper.Login$1: void run()>
"The TGT cannot be renewed beyond the next expiry date: <*>.This process will not be able to authenticate new SASL connections after that time (for example, it will not be authenticate a new connection with a Zookeeper Quorum member).  Ask your system administrator to either increase the \'renew until\' time by doing : \'modprinc -maxrenewlife <*>\' within kadmin, or instead, to generate a keytab for <*>. Because the TGT\'s expiry cannot be further extended by refreshing, exiting refresh thread now.",error,<org.apache.zookeeper.Login$1: void run()>
TGT refresh thread time adjusted from : <*> to : <*> since the former is sooner than the minimum refresh interval (<*> seconds) from now.,warn,<org.apache.zookeeper.Login$1: void run()>
next refresh: <*> is later than expiry <*>. This may indicate a clock skew problem. Check that this host and the KDC\'s hosts\' clocks are in sync. Exiting refresh thread.,error,<org.apache.zookeeper.Login$1: void run()>
refreshing now because expiry is before next scheduled refresh time.,info,<org.apache.zookeeper.Login$1: void run()>
TGT refresh sleeping until: <*>,info,<org.apache.zookeeper.Login$1: void run()>
TGT renewal thread has been interrupted and will exit.,warn,<org.apache.zookeeper.Login$1: void run()>
nextRefresh:<*> is in the past: exiting refresh thread. Check clock sync between this host and KDC - (KDC\'s clock is likely ahead of this host). Manual intervention will be required for this client to successfully authenticate. Exiting refresh thread.,error,<org.apache.zookeeper.Login$1: void run()>
running ticket cache refresh command: <*> <*>,debug,<org.apache.zookeeper.Login$1: void run()>
"Interrupted while renewing TGT, exiting Login thread",error,<org.apache.zookeeper.Login$1: void run()>
Could not renew TGT due to problem running shell command: \'<*> <*>\'. Exiting refresh thread.,warn,<org.apache.zookeeper.Login$1: void run()>
Interrupted during login retry after LoginException:,error,<org.apache.zookeeper.Login$1: void run()>
Could not refresh TGT for principal: <*>.,error,<org.apache.zookeeper.Login$1: void run()>
Failed to refresh TGT: refresh thread exiting now.,error,<org.apache.zookeeper.Login$1: void run()>
*****>>>>> Got <*> <*>,warn,"<org.apache.zookeeper.server.ZooKeeperServer: void processTxnForSessionEvents(org.apache.zookeeper.server.Request,org.apache.zookeeper.txn.TxnHeader,org.apache.jute.Record)>"
Synchronizing with Learner sid: <*> maxCommittedLog=x<*> minCommittedLog=x<*> lastProcessedZxid=x<*> peerLastZxid=x<*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Forcing snapshot sync - should not see this in production,warn,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Sending DIFF zxid=x<*> for peer sid: <*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Sending TRUNC to follower zxidToSend=x<*> for peer sid:<*>,debug,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Using committedLog for peer sid: <*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Use txnlog and committedLog for peer sid: <*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Detected gap between end of txnlog: x<*> and start of committedLog: x<*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Queueing committedLog x<*>,debug,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Unhandled scenario for peer sid: <*> maxCommittedLog=x<*> minCommittedLog=x<*> lastProcessedZxid=x<*> peerLastZxid=x<*> txnLogSyncEnabled=<*>,warn,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Start forwarding x<*> for peer sid: <*>,debug,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Unhandled scenario for peer sid: <*> fall back to use snapshot,error,"<org.apache.zookeeper.server.quorum.LearnerHandler: boolean syncFollower(long,org.apache.zookeeper.server.quorum.LearnerMaster)>"
EOF exception,debug,<org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator: boolean next()>
,info,"<org.apache.zookeeper.server.quorum.QuorumPeerConfig: org.apache.zookeeper.server.quorum.flexible.QuorumVerifier parseDynamicConfig(java.util.Properties,int,boolean,boolean,java.lang.String)>"
"Invalid configuration, only one server specified (ignoring)",error,"<org.apache.zookeeper.server.quorum.QuorumPeerConfig: org.apache.zookeeper.server.quorum.flexible.QuorumVerifier parseDynamicConfig(java.util.Properties,int,boolean,boolean,java.lang.String)>"
No server failure will be tolerated. You need at least  servers.,warn,"<org.apache.zookeeper.server.quorum.QuorumPeerConfig: org.apache.zookeeper.server.quorum.flexible.QuorumVerifier parseDynamicConfig(java.util.Properties,int,boolean,boolean,java.lang.String)>"
"Non-optimal configuration, consider an odd number of servers.",warn,"<org.apache.zookeeper.server.quorum.QuorumPeerConfig: org.apache.zookeeper.server.quorum.flexible.QuorumVerifier parseDynamicConfig(java.util.Properties,int,boolean,boolean,java.lang.String)>"
Queue size: <*>,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: boolean haveDelivered()>
Updating header,debug,<org.apache.zookeeper.server.quorum.LeaderRequestProcessor: void processRequest(org.apache.zookeeper.server.Request)>
Error creating upgrade request,warn,<org.apache.zookeeper.server.quorum.LeaderRequestProcessor: void processRequest(org.apache.zookeeper.server.Request)>
Unexpected error in upgrade,error,<org.apache.zookeeper.server.quorum.LeaderRequestProcessor: void processRequest(org.apache.zookeeper.server.Request)>
Successful handshake with session x<*>,debug,<org.apache.zookeeper.server.NettyServerCnxnFactory$CertificateVerifier: void operationComplete(io.netty.util.concurrent.Future)>
Error getting peer certificates,error,<org.apache.zookeeper.server.NettyServerCnxnFactory$CertificateVerifier: void operationComplete(io.netty.util.concurrent.Future)>
Error getting peer certificates,error,<org.apache.zookeeper.server.NettyServerCnxnFactory$CertificateVerifier: void operationComplete(io.netty.util.concurrent.Future)>
X Auth provider not found: <*>,error,<org.apache.zookeeper.server.NettyServerCnxnFactory$CertificateVerifier: void operationComplete(io.netty.util.concurrent.Future)>
Authentication failed for session x<*>,error,<org.apache.zookeeper.server.NettyServerCnxnFactory$CertificateVerifier: void operationComplete(io.netty.util.concurrent.Future)>
Unsuccessful handshake with session x<*>,error,<org.apache.zookeeper.server.NettyServerCnxnFactory$CertificateVerifier: void operationComplete(io.netty.util.concurrent.Future)>
"endSync() called incorrectly; current sync count is , newCount, ",error,<org.apache.zookeeper.server.quorum.LearnerSyncThrottler: void endSync()>
startConnection (myId:<*> --> sid:<*>),debug,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: boolean startConnection(java.net.Socket,java.lang.Long)>"
Ignoring exception reading or writing challenge: ,warn,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: boolean startConnection(java.net.Socket,java.lang.Long)>"
"Have smaller server identifier, so dropping the connection: (myId:<*> --> sid:<*>)",info,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: boolean startConnection(java.net.Socket,java.lang.Long)>"
"Have larger server identifier, so keeping the connection: (myId:<*> --> sid:<*>)",debug,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: boolean startConnection(java.net.Socket,java.lang.Long)>"
Exception when shutting down listener: ,warn,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void run()>
Unexpected error ,error,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void run()>
"Unexpected exception when creating WatchManager, exiting abnormally",error,<org.apache.zookeeper.server.DataTree: void <init>(org.apache.zookeeper.server.DigestCalculator)>
ZooKeeper audit is enabled.,info,<org.apache.zookeeper.audit.ZKAuditProvider: void <clinit>()>
ZooKeeper audit is disabled.,info,<org.apache.zookeeper.audit.ZKAuditProvider: void <clinit>()>
"The maxInProcessingDeadWatchers config is smaller than the suggested one, change it to use <*>",info,"<org.apache.zookeeper.server.watch.WatcherCleaner: void <init>(org.apache.zookeeper.server.watch.IDeadWatcherListener,int,int,int,int)>"
